iter	Passed	Remaining
418	2447	3394
419	2452	3386
420	2456	3378
421	2460	3370
422	2465	3363
423	2470	3355
424	2474	3347
425	2478	3339
426	2483	3332
427	2487	3323
428	2492	3317
429	2497	3310
430	2501	3302
431	2506	3295
432	2511	3288
433	2515	3281
434	2520	3273
435	2524	3265
436	2529	3258
437	2533	3250
438	2537	3242
439	2541	3234
440	2545	3226
441	2549	3218
442	2554	3211
443	2558	3204
444	2562	3196
445	2566	3188
446	2570	3180
447	2575	3173
448	2580	3167
449	2585	3159
450	2589	3152
451	2593	3144
452	2597	3136
453	2602	3129
454	2606	3121
455	2610	3114
456	2615	3107
457	2620	3100
458	2625	3094
459	2629	3086
460	2633	3078
461	2637	3071
462	2642	3064
463	2646	3057
464	2650	3049
465	2655	3042
466	2659	3035
467	2664	3028
468	2668	3021
469	2673	3014
470	2678	3007
471	2682	3000
472	2687	2994
473	2691	2987
474	2696	2979
475	2700	2972
476	2704	2965
477	2709	2958
478	2713	2951
479	2717	2943
480	2721	2936
481	2726	2930
482	2730	2923
483	2735	2916
484	2739	2909
485	2744	2902
486	2749	2896
487	2753	2889
488	2758	2882
489	2763	2875
490	2767	2868
491	2771	2862
492	2776	2855
493	2781	2848
494	2785	2842
495	2790	2835
496	2794	2828
497	2799	2821
498	2803	2814
499	2808	2808
500	2812	2801
501	2817	2794
502	2821	2787
503	2825	2780
504	2831	2775
505	2836	2768
506	2840	2761
507	2845	2755
508	2849	2749
509	2854	2742
510	2859	2736
511	2864	2730
512	2869	2723
513	2873	2717
514	2877	2710
515	2882	2703
516	2886	2696
517	2891	2690
518	2895	2683
519	2900	2677
520	2904	2670
521	2908	2663
522	2912	2656
523	2917	2650
524	2922	2644
525	2927	2637
526	2932	2631
527	2937	2625
528	2941	2618
529	2945	2612
530	2949	2605
531	2954	2599
532	2959	2593
533	2965	2587
534	2969	2580
535	2974	2574
536	2979	2569
537	2984	2562
538	2988	2556
539	2993	2550
540	2998	2544
541	3004	2538
542	3008	2532
543	3013	2526
544	3018	2520
545	3023	2513
546	3027	2507
547	3032	2500
548	3037	2494
549	3041	2488
550	3046	2482
551	3051	2476
552	3055	2469
553	3060	2463
554	3065	2457
555	3069	2451
556	3073	2444
557	3078	2438
558	3082	2431
559	3086	2424
560	3090	2418
561	3094	2411
562	3099	2405
563	3103	2399
564	3108	2393
565	3112	2386
566	3117	2380
567	3121	2374
568	3125	2367
569	3129	2361
570	3134	2355
571	3138	2348
572	3143	2342
573	3147	2335
574	3151	2329
575	3156	2323
576	3160	2316
577	3164	2310
578	3169	2304
579	3174	2298
580	3178	2292
581	3183	2286
582	3188	2280
583	3192	2273
584	3196	2267
585	3200	2261
586	3205	2255
587	3209	2248
588	3213	2242
589	3217	2236
590	3222	2229
591	3226	2223
592	3230	2217
593	3235	2211
594	3239	2205
595	3244	2199
596	3248	2192
597	3252	2186
598	3256	2180
599	3260	2173
600	3264	2167
601	3268	2160
602	3271	2154
603	3275	2147
604	3279	2141
605	3284	2135
606	3287	2128
607	3292	2122
608	3296	2116
609	3300	2110
610	3304	2103
611	3308	2097
612	3312	2091
613	3316	2084
614	3320	2078
615	3324	2072
616	3328	2066
617	3332	2059
618	3336	2053
619	3341	2047
620	3344	2041
621	3348	2035
622	3353	2029
623	3357	2023
624	3361	2017
625	3365	2010
626	3369	2004
627	3374	1998
628	3378	1992
629	3382	1986
630	3386	1980
631	3389	1973
632	3393	1967
633	3397	1961
634	3401	1955
635	3405	1949
636	3409	1942
637	3413	1936
638	3417	1930
639	3421	1924
640	3425	1918
641	3429	1912
642	3433	1906
643	3437	1900
644	3441	1894
645	3445	1887
646	3448	1881
647	3453	1875
648	3457	1869
649	3461	1863
650	3465	1857
651	3468	1851
652	3472	1845
653	3476	1839
654	3481	1833
655	3485	1827
656	3489	1821
657	3493	1815
658	3497	1809
659	3501	1803
660	3504	1797
661	3509	1792
662	3514	1786
663	3518	1780
664	3522	1774
665	3526	1768
666	3530	1762
667	3534	1756
668	3538	1750
669	3542	1744
670	3546	1738
671	3550	1732
672	3553	1726
673	3557	1720
674	3561	1714
675	3565	1708
676	3569	1702
677	3573	1697
678	3576	1690
679	3580	1684
680	3584	1679
681	3589	1673
682	3593	1667
683	3597	1661
684	3601	1656
685	3605	1650
686	3610	1644
687	3614	1639
688	3619	1633
689	3623	1627
690	3627	1622
691	3632	1616
692	3636	1610
693	3640	1605
694	3644	1599
695	3648	1593
696	3651	1587
697	3656	1581
698	3660	1576
699	3664	1570
700	3668	1564
701	3672	1559
702	3678	1553
703	3682	1548
704	3687	1542
705	3691	1537
706	3696	1531
707	3700	1526
708	3704	1520
709	3708	1514
710	3713	1509
711	3717	1503
712	3721	1497
713	3725	1492
714	3729	1486
715	3733	1480
716	3737	1475
717	3741	1469
718	3746	1464
719	3750	1458
720	3754	1452
721	3759	1447
722	3763	1442
723	3768	1436
724	3773	1431
725	3777	1425
726	3781	1419
727	3785	1414
728	3789	1408
729	3794	1403
730	3799	1398
731	3805	1393
732	3809	1387
733	3815	1382
734	3820	1377
735	3825	1372
736	3830	1366
737	3834	1361
738	3838	1355
739	3843	1350
740	3849	1345
741	3854	1340
742	3859	1334
743	3863	1329
744	3868	1324
745	3873	1318
746	3877	1313
747	3881	1307
748	3885	1302
749	3890	1296
750	3894	1291
751	3899	1285
752	3903	1280
753	3908	1275
754	3912	1269
755	3916	1264
756	3921	1258
757	3925	1253
758	3929	1247
759	3934	1242
760	3938	1237
761	3943	1231
762	3947	1226
763	3951	1220
764	3955	1215
765	3959	1209
766	3964	1204
767	3969	1199
768	3973	1193
769	3977	1188
770	3982	1182
771	3987	1177
772	3991	1172
773	3996	1167
774	4001	1161
775	4006	1156
776	4010	1151
777	4015	1145
778	4020	1140
779	4024	1135
780	4029	1129
781	4033	1124
782	4037	1119
783	4042	1113
784	4046	1108
785	4051	1103
786	4055	1097
787	4059	1092
788	4064	1086
789	4069	1081
790	4073	1076
791	4077	1070
792	4081	1065
793	4086	1060
794	4090	1054
795	4095	1049
796	4099	1044
797	4104	1039
798	4108	1033
799	4112	1028
800	4117	1022
801	4121	1017
802	4126	1012
803	4130	1007
804	4135	1001
805	4139	996
806	4143	990
807	4147	985
808	4151	980
809	4155	974
810	4160	969
811	4164	964
812	4168	958
813	4172	953
814	4176	947
815	4179	942
816	4184	937
817	4189	932
818	4193	926
819	4197	921
820	4200	915
821	4204	910
822	4208	905
823	4212	899
824	4216	894
825	4220	889
826	4224	883
827	4228	878
828	4232	873
829	4236	867
830	4240	862
831	4243	856
832	4248	851
833	4252	846
834	4255	840
835	4260	835
836	4264	830
837	4268	825
838	4272	819
839	4276	814
840	4281	809
841	4284	804
842	4289	798
843	4292	793
844	4296	788
845	4300	782
846	4304	777
847	4308	772
848	4311	766
849	4316	761
850	4320	756
851	4324	751
852	4328	745
853	4332	740
854	4336	735
855	4339	730
856	4343	724
857	4347	719
858	4350	714
859	4355	709
860	4360	703
861	4364	698
862	4368	693
863	4371	688
864	4375	682
865	4379	677
866	4383	672
867	4387	667
868	4391	661
869	4395	656
870	4398	651
871	4402	646
872	4406	641
873	4410	635
874	4414	630
875	4418	625
876	4422	620
877	4426	615
878	4430	609
879	4434	604
880	4438	599
881	4442	594
882	4447	589
883	4451	584
884	4455	578
885	4458	573
886	4462	568
887	4466	563
888	4470	558
889	4474	553
890	4478	547
891	4483	542
892	4488	537
893	4492	532
894	4496	527
895	4501	522
896	4506	517
897	4510	512
898	4514	507
899	4518	502
900	4523	496
901	4528	492
902	4533	487
903	4537	481
904	4542	476
905	4546	471
906	4550	466
907	4556	461
908	4560	456
909	4564	451
910	4568	446
911	4573	441
912	4577	436
913	4582	431
914	4587	426
915	4591	421
916	4596	416
917	4600	410
918	4605	405
919	4610	400
920	4614	395
921	4619	390
922	4623	385
923	4628	380
924	4632	375
925	4637	370
926	4642	365
927	4647	360
928	4651	355
929	4655	350
930	4659	345
931	4664	340
932	4668	335
933	4672	330
934	4677	325
935	4681	320
936	4686	315
937	4690	310
938	4696	305
939	4700	300
940	4704	294
941	4708	289
942	4712	284
943	4716	279
944	4721	274
945	4725	269
946	4729	264
947	4733	259
948	4737	254
949	4742	249
950	4746	244
951	4751	239
952	4755	234
953	4759	229
954	4763	224
955	4768	219
956	4771	214
957	4776	209
958	4780	204
959	4785	199
960	4789	194
961	4793	189
962	4797	184
963	4802	179
964	4807	174
965	4811	169
966	4815	164
967	4820	159
968	4825	154
969	4830	149
970	4835	144
971	4840	139
972	4844	134
973	4849	129
974	4853	124
975	4858	119
976	4864	114
977	4869	109
978	4873	104
979	4878	99
980	4883	94
981	4888	89
982	4893	84
983	4897	79
984	4902	74
985	4906	69
986	4910	64
987	4915	59
988	4920	54
989	4924	49
990	4929	44
991	4934	39
992	4938	34
993	4942	29
994	4947	24
995	4951	19
996	4956	14
997	4960	9
998	4965	4
999	4969	0
